Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,100420751,10,6,978,11595,326,0,97.8,157.47296,5792,0,1932.5,2181.0083,125.20321,0.15932962,6694716.5,25800000.0,99900000,1,100000000,11100000.0,33300000.0,99900000,1,559410,111882.0,183974.38,423881,14,0,0,328,200,0.09958101,0.05974861,0,5792,739.58826,1525.0267,2325706.8,0,0,0,0,1,0,0,0,0,785.8125,97.8,1932.5,10,978,6,11595,251,235,3,32,967.0,0.0,967,967,99900000.0,0.0,99900000,99900000
53,48325,2,2,92,222,46,46,46.0,0.0,111,111,111.0,0.0,6497.672,82.77289,16108.333,27895.256,48319,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,40,64,41.386444,41.386444,46,111,72.0,35.601967,1267.5,0,0,0,0,0,0,0,0,1,90.0,46.0,111.0,2,92,2,222,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,400048,3,4,568,947,562,0,189.33333,322.75275,935,0,236.75,465.5086,3787.0457,17.4979,66674.664,102776.23,199407,3,199461,99730.5,140884.66,199351,110,200741,66913.664,114877.46,199561,3,0,0,72,88,7.4991,9.9988,0,935,189.375,359.22015,129039.125,0,0,0,1,0,0,0,0,1,216.42857,189.33333,236.75,3,568,4,947,8192,4942,2,20,0.0,0.0,0,0,0.0,0.0,0,0
53,70781,1,1,56,141,56,56,56.0,0.0,141,141,141.0,0.0,2783.2327,28.25617,70781.0,0.0,70781,70781,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,40,14.128085,14.128085,56,141,84.333336,49.07477,2408.3333,0,0,0,0,0,0,0,0,1,126.5,56.0,141.0,1,56,1,141,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,49080,2,2,78,192,39,39,39.0,0.0,96,96,96.0,0.0,5501.2227,81.499596,16360.0,28290.46,49027,4,49,49.0,0.0,49,49,4,4.0,0.0,4,4,0,0,64,40,40.749798,40.749798,39,96,61.8,31.220186,974.7,0,0,0,0,0,0,0,0,1,77.25,39.0,96.0,2,78,2,192,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5985387,3,1,12,0,6,0,4.0,3.4641016,0,0,0.0,0.0,2.0048828,0.6682943,1995129.0,3421920.2,5946358,7,5985387,2992693.5,4177112.5,5946358,39029,0,0.0,0.0,0,0,0,0,72,32,0.5012207,0.16707358,0,6,2.4,3.2863352,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0
53,48357,1,1,59,122,59,59,59.0,0.0,122,122,122.0,0.0,3742.9949,41.35906,48357.0,0.0,48357,48357,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,20.67953,20.67953,59,122,80.0,36.373066,1323.0,0,0,0,0,0,0,0,0,1,120.0,59.0,122.0,1,59,1,122,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,4101160,5,1,123,46,46,0,24.6,23.276598,46,46,46.0,0.0,41.207855,1.4630007,820232.0,1771010.4,3987586,4,4101160,1025290.0,1975258.8,3987586,4,0,0.0,0.0,0,0,1,0,160,32,1.2191672,0.24383345,0,46,30.714285,21.684975,470.2381,0,1,0,0,1,0,0,0,0,35.833332,24.6,46.0,5,123,1,46,329,126,2,32,0.0,0.0,0,0,0.0,0.0,0,0
4741,24,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,500000.0,83333.336,24.0,0.0,24,24,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,41666.668,41666.668,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,1,6,1,6,29200,64240,0,20,0.0,0.0,0,0,0.0,0.0,0,0
26177,4073403,1,6,6,36,6,6,6.0,0.0,6,6,6.0,0.0,10.310789,1.7184649,678900.5,1649096.8,4045053,3,0,0.0,0.0,0,0,4069907,813981.4,1806252.8,4045053,3,0,0,20,120,0.24549498,1.4729699,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,6,6.857143,6.0,6.0,1,6,6,36,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0
8080,78008,4,3,207,134,195,0,51.75,95.54188,128,0,44.666668,72.23111,4371.3467,89.73438,13001.333,30800.398,75869,22,78008,26002.666,44262.31,77110,22,76446,38223.0,53239.484,75869,577,0,0,92,72,51.27679,38.457596,0,195,42.625,75.57577,5711.6963,0,0,0,1,0,0,0,0,0,48.714287,51.75,44.666668,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0
80,5277739,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.7579003,1759246.4,3046332.5,5276848,137,5277739,2638869.5,3730665.0,5276848,891,0,0.0,0.0,0,0,0,0,104,40,0.56842524,0.18947507,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,60693,4,2,144,248,36,36,36.0,0.0,124,124,124.0,0.0,6458.735,98.858185,12138.6,16863.01,34401,3,34407,11469.0,19859.695,34401,3,4,4.0,0.0,4,4,0,0,104,40,65.90546,32.95273,36,124,61.142857,42.9396,1843.8096,0,0,0,0,0,0,0,0,0,71.333336,36.0,124.0,4,144,2,248,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
443,10311586,12,15,5716,12497,2744,0,476.33334,854.12244,2537,0,833.13336,837.1368,1766.2656,2.618414,396599.47,1958279.5,9996321,3,10300000,937143.2,3005196.8,9996321,49,10300000,734238.56,2667086.0,9999354,3,0,0,392,488,1.1637396,1.4546744,0,2744,650.4643,841.5909,708275.25,0,0,0,1,0,0,0,0,1,674.55554,476.33334,833.13336,12,5716,15,12497,29200,82,5,32,312254.0,0.0,312254,312254,9996321.0,0.0,9996321,9996321
53,282,2,2,88,664,44,44,44.0,0.0,332,332,332.0,0.0,2666666.8,14184.397,94.0,150.7415,268,3,3,3.0,0.0,3,3,11,11.0,0.0,11,11,0,0,64,64,7092.1987,7092.1987,44,332,159.2,157.7441,24883.2,0,0,0,0,0,0,0,0,1,199.0,44.0,332.0,2,88,2,664,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,197,2,2,62,190,31,31,31.0,0.0,95,95,95.0,0.0,1279187.9,20304.568,65.666664,73.11862,146,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,64,64,10152.284,10152.284,31,95,56.6,35.054245,1228.8,0,0,0,0,0,0,0,0,1,70.75,31.0,95.0,2,62,2,190,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,69060,2,2,60,244,30,30,30.0,0.0,122,122,122.0,0.0,4401.969,57.92065,23020.0,39865.746,69053,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,88,64,28.960325,28.960325,30,122,66.8,50.390476,2539.2,0,0,0,0,0,0,0,0,1,83.5,30.0,122.0,2,60,2,244,-1,-1,1,44,0.0,0.0,0,0,0.0,0.0,0,0
53,198,2,2,70,452,35,35,35.0,0.0,226,226,226.0,0.0,2636363.8,20202.02,66.0,107.38715,190,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,40,40,10101.01,10101.01,35,226,111.4,104.615005,10944.3,0,0,0,0,0,0,0,0,1,139.25,35.0,226.0,2,70,2,452,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,32243,1,1,57,96,57,57,57.0,0.0,96,96,96.0,0.0,4745.216,62.02897,32243.0,0.0,32243,32243,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,31.014484,31.014484,57,96,70.0,22.51666,507.0,0,0,0,0,0,0,0,0,1,105.0,57.0,96.0,1,57,1,96,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
53,515,1,1,45,102,45,45,45.0,0.0,102,102,102.0,0.0,285436.9,3883.495,515.0,0.0,515,515,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,1941.7476,1941.7476,45,102,64.0,32.908966,1083.0,0,0,0,0,0,0,0,0,1,96.0,45.0,102.0,1,45,1,102,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,6065783,7,4,635,154,517,0,90.71429,190.7072,154,0,38.5,77.0,130.0739,1.8134509,606578.3,1755920.9,5598391,3,6065783,1010963.8,2280564.5,5661654,3,437721,145907.0,174561.72,340100,2028,0,0,232,136,1.1540142,0.6594367,0,517,65.75,150.04794,22514.387,0,0,0,1,0,0,0,0,0,71.72727,90.71429,38.5,7,635,4,154,29200,118,3,32,467389.0,0.0,467389,467389,5598391.0,0.0,5598391,5598391
53,31144,2,2,58,90,29,29,29.0,0.0,45,45,45.0,0.0,4752.119,128.43565,10381.333,17899.59,31050,46,48,48.0,0.0,48,48,46,46.0,0.0,46,46,0,0,40,40,64.21783,64.21783,29,45,35.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,44.25,29.0,45.0,2,58,2,90,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
6881,12,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,666666.7,166666.67,12.0,0.0,12,12,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,83333.336,83333.336,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
58108,4,2,0,37,0,31,6,18.5,17.67767,0,0,0.0,0.0,9250000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,40,0,500000.0,0.0,6,31,22.666666,14.433757,208.33333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,2,37,0,0,30856,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
443,10035942,40,71,1276,112761,405,0,31.9,96.64973,4344,0,1588.1831,806.957,11362.859,11.060247,91235.836,938987.2,9849725,0,10000000,257331.84,1576457.0,9849725,0,10000000,142955.94,1179900.1,9873507,48,0,0,1292,2280,3.9856746,7.0745726,0,4344,1018.1875,990.7757,981636.44,0,0,0,1,0,0,0,0,1,1027.3604,31.9,1588.1831,40,1276,71,112761,65535,126,7,32,148025.0,0.0,148025,148025,9849725.0,0.0,9849725,9849725
39982,52,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38461.54,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,19230.77,19230.77,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,1,0,1,0,118,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,166,2,2,74,170,37,37,37.0,0.0,85,85,85.0,0.0,1469879.5,24096.385,55.333332,90.64399,160,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,64,64,12048.192,12048.192,37,85,56.2,26.290682,691.2,0,0,0,0,0,0,0,0,1,70.25,37.0,85.0,2,74,2,170,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
56325,327,3,0,43,0,31,6,14.333333,14.433757,0,0,0.0,0.0,131498.47,9174.312,163.5,226.98128,324,3,327,163.5,226.98128,324,3,0,0.0,0.0,0,0,0,0,60,0,9174.312,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.333334,14.333333,0.0,3,43,0,0,62,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0
6748,57,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,210526.31,35087.72,57.0,0.0,57,57,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,17543.86,17543.86,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,1,6,1,6,157,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0
443,139029,10,5,1155,735,901,0,115.5,280.39188,597,0,147.0,258.55753,13594.286,107.89116,9930.643,14885.502,36653,48,139029,15447.667,20741.52,52167,48,93135,23283.75,17765.998,37792,462,0,0,332,168,71.92744,35.96372,0,901,118.125,257.31638,66211.72,0,0,0,1,0,0,0,0,0,126.0,115.5,147.0,10,1155,5,735,65535,362,5,32,0.0,0.0,0,0,0.0,0.0,0,0
52471,22,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,545454.56,90909.09,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,45454.547,45454.547,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,1,6,1,6,229,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0
41913,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.7,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,64,0,666666.7,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,340,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
