,precision,recall,f1-score,support
BENIGN,0.9998321657456503,0.9989845319686106,0.9994081691300397,322019.0
Botnet,0.74,0.886986301369863,0.8068535825545171,292.0
BruteForce,0.9992721979621543,1.0,0.9996359665089188,1373.0
DoS/DDoS,0.9984480403923354,0.9996892222268263,0.999068245817459,48266.0
Infiltration,0.8,0.8,0.8,5.0
PortScan,0.9880770628862232,0.9990443987062628,0.9935304652947842,13604.0
WebAttack,0.9753086419753086,0.9844236760124611,0.9798449612403101,321.0
accuracy,0.9989789571887634,0.9989789571887634,0.9989789571887634,0.9989789571887634
macro avg,0.9287054441373817,0.9527325900405749,0.9397630557922899,385880.0
weighted avg,0.9990230187213779,0.9989789571887634,0.9989946804142812,385880.0
